 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Ano do Óbito
Causa - CID-BR-10: . 104 Acidentes de transporte
Período:2010-2019
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"410980 Ibiporã";8;5;9;8;8;4;7;5;9;4;67
"410990 Icaraíma";2;-;4;2;2;3;1;3;2;-;19
"411000 Iguaraçu";3;1;6;1;6;8;3;-;3;-;31
"411005 Iguatu";-;1;1;-;-;-;-;-;-;-;2
"411007 Imbaú";13;6;8;3;2;2;7;3;1;4;49
"411010 Imbituva";7;14;13;9;2;10;17;5;4;10;91
"411020 Inácio Martins";-;-;2;1;1;-;2;3;-;3;12
"411030 Inajá";-;4;3;-;1;1;-;-;1;-;10
"411040 Indianópolis";-;1;1;-;1;2;1;-;1;-;7
"411050 Ipiranga";1;2;1;5;3;4;-;2;1;2;21
"411060 Iporã";5;5;2;5;3;5;5;5;1;-;36
"411065 Iracema do Oeste";-;-;1;-;1;-;4;-;-;-;6
"411070 Irati";16;20;16;22;17;13;15;16;15;10;160
"411080 Iretama";7;6;2;4;7;8;4;3;1;1;43
"411090 Itaguajé";3;3;-;1;3;-;1;3;2;1;17
"411095 Itaipulândia";1;-;2;3;4;4;2;1;-;1;18
"411100 Itambaracá";1;-;1;1;-;1;1;-;-;-;5
"411110 Itambé";-;1;-;1;-;-;-;-;-;-;2
"411120 Itapejara d'Oeste";7;4;3;1;3;1;3;3;4;2;31
"411125 Itaperuçu";3;3;4;4;1;1;2;4;1;3;26
"411130 Itaúna do Sul";2;2;-;1;1;2;-;4;1;-;13
"411140 Ivaí";3;6;-;6;5;3;3;3;4;4;37
"411150 Ivaiporã";22;18;18;24;18;19;20;14;11;11;175
"411155 Ivaté";2;2;3;7;1;2;-;1;1;7;26
"411160 Ivatuba";-;3;3;-;2;1;-;-;-;2;11
"411170 Jaboti";2;-;-;-;1;4;-;-;1;1;9
"411180 Jacarezinho";17;23;22;23;24;25;21;21;29;22;227
"411190 Jaguapitã";2;2;1;4;4;2;9;8;1;3;36
"411200 Jaguariaíva";5;13;8;7;1;13;6;4;9;11;77
"411210 Jandaia do Sul";3;4;5;2;7;5;6;4;3;2;41
"411220 Janiópolis";-;1;4;5;4;1;3;2;-;5;25
"411230 Japira";-;1;1;2;1;-;1;8;-;3;17
"411240 Japurá";3;2;1;2;-;1;2;3;-;2;16
"411250 Jardim Alegre";-;3;3;1;3;2;5;3;8;2;30
"411260 Jardim Olinda";-;-;-;-;-;1;1;-;-;-;2
"411270 Jataizinho";2;1;3;1;2;2;4;1;3;3;22
"411275 Jesuítas";1;6;4;9;4;10;1;1;1;6;43
"411280 Joaquim Távora";8;8;4;6;8;7;4;2;6;4;57
"411290 Jundiaí do Sul";2;1;2;-;-;-;-;-;1;-;6
"411295 Juranda";1;2;4;3;9;3;-;1;1;1;25
"411300 Jussara";6;3;3;4;-;3;2;1;2;3;27
"411310 Kaloré";1;-;-;4;1;1;-;-;-;-;7
"411320 Lapa";14;15;26;16;13;11;13;14;19;13;154
"411325 Laranjal";3;-;1;1;1;1;1;-;2;-;10
"411330 Laranjeiras do Sul";7;15;13;8;17;9;9;12;14;17;121
"411340 Leópolis";5;1;1;3;-;-;-;-;-;-;10
"411342 Lidianópolis";5;-;2;1;-;2;-;3;1;-;14
"411345 Lindoeste";2;1;2;4;2;-;1;9;5;3;29
"411350 Loanda";8;6;6;3;7;9;9;3;1;3;55
"411360 Lobato";1;3;1;-;2;-;1;1;-;-;9
"411370 Londrina";193;204;196;163;168;167;160;138;155;129;1673
"411373 Luiziana";6;1;2;-;1;-;1;4;1;3;19
"411375 Lunardelli";1;-;3;-;7;1;-;2;-;-;14
"411380 Lupionópolis";3;-;4;-;-;1;4;-;4;1;17
"411390 Mallet";-;-;-;2;2;1;-;4;3;1;13
"411400 Mamborê";4;3;6;1;4;3;10;8;6;4;49
"411410 Mandaguaçu";5;3;8;4;4;2;3;3;5;3;40
"411420 Mandaguari";7;13;5;10;8;6;3;7;9;14;82
"411430 Mandirituba";7;10;20;6;17;12;9;9;7;7;104
"411435 Manfrinópolis";1;-;-;-;-;-;-;1;4;1;7
"411440 Mangueirinha";3;4;4;7;6;5;8;3;4;7;51
"411450 Manoel Ribas";5;3;2;3;4;5;9;2;4;1;38
"411460 Marechal Cândido Rondon";19;11;13;8;11;17;11;9;6;11;116
"411470 Maria Helena";1;-;1;-;3;1;-;1;-;3;10
"411480 Marialva";15;8;7;12;7;6;7;6;7;12;87
"411490 Marilândia do Sul";4;10;4;5;4;5;4;6;6;5;53
"411500 Marilena";2;1;3;-;2;-;-;-;3;1;12
"411510 Mariluz";1;1;1;4;2;-;-;-;1;1;11
"411520 Maringá";162;110;138;110;125;97;104;88;94;87;1115
"411530 Mariópolis";3;2;3;1;1;3;-;1;1;5;20
"411535 Maripá";2;8;-;-;5;2;4;-;1;7;29
"411540 Marmeleiro";2;3;10;2;5;7;4;2;1;3;39
"411545 Marquinho";4;-;3;-;-;-;2;-;2;1;12
"411550 Marumbi";-;-;1;4;2;-;2;-;2;-;11
"411560 Matelândia";10;15;13;6;13;8;4;10;1;4;84
"411570 Matinhos";5;5;4;4;3;9;4;2;4;1;41
"411573 Mato Rico";2;1;1;-;1;-;-;-;-;-;5
"411575 Mauá da Serra";3;6;5;4;5;7;2;4;4;1;41
"411580 Medianeira";13;18;21;21;18;13;12;14;10;11;151
"411585 Mercedes";1;-;3;-;2;1;6;-;2;1;16
"411590 Mirador";-;-;-;-;-;-;-;1;-;-;1
"411600 Miraselva";-;1;-;-;-;-;-;-;-;-;1
"411605 Missal";3;3;10;5;1;5;3;4;2;2;38
"411610 Moreira Sales";5;4;4;4;6;1;3;5;1;1;34
"411620 Morretes";12;17;12;17;14;10;14;4;9;10;119
"411630 Munhoz de Melo";1;1;-;-;1;-;-;-;5;-;8
"411640 Nossa Senhora das Graças";1;1;-;2;3;1;-;1;2;4;15
"411650 Nova Aliança do Ivaí";-;-;-;-;1;-;-;1;-;-;2
"411660 Nova América da Colina";1;1;1;1;2;1;-;1;1;-;9
"411670 Nova Aurora";1;2;1;4;5;1;3;5;1;3;26
"411680 Nova Cantu";-;2;1;2;-;1;1;1;2;2;12
"411690 Nova Esperança";12;3;4;8;19;6;4;6;1;8;71
"411695 Nova Esperança do Sudoeste";1;-;3;1;1;-;1;-;-;2;9
"411700 Nova Fátima";1;1;1;1;2;1;1;1;-;1;10
"411705 Nova Laranjeiras";7;11;26;8;1;10;11;8;4;10;96
"411710 Nova Londrina";3;5;10;1;2;3;3;3;2;6;38
"411720 Nova Olímpia";-;1;3;3;1;2;1;1;1;1;14
"411725 Nova Prata do Iguaçu";3;5;3;4;2;2;4;2;-;1;26
"411721 Nova Santa Bárbara";5;1;1;-;-;1;1;-;-;-;9
"411722 Nova Santa Rosa";3;1;2;-;1;2;3;-;2;1;15
"411727 Nova Tebas";3;3;1;3;1;-;4;1;2;1;19
"411729 Novo Itacolomi";-;5;2;-;1;3;1;-;3;-;15
"411730 Ortigueira";11;13;17;20;8;11;20;11;10;9;130
"411740 Ourizona";1;1;-;1;1;-;1;-;1;-;6
"411745 Ouro Verde do Oeste";1;5;1;1;-;1;2;1;2;3;17
"411750 Paiçandu";6;12;22;9;7;3;4;4;6;7;80
"411760 Palmas";16;19;15;29;15;11;21;13;20;12;171
"411770 Palmeira";25;20;16;21;25;20;26;20;9;19;201
"411780 Palmital";2;9;4;5;9;2;4;5;4;2;46
"411790 Palotina";6;9;12;13;9;5;8;13;3;8;86
"411800 Paraíso do Norte";4;5;2;10;4;2;3;4;2;1;37
"411810 Paranacity";1;3;3;3;3;-;2;3;4;1;23
"411820 Paranaguá";51;45;56;49;49;47;42;40;47;45;471
"411830 Paranapoema";-;2;2;-;-;-;-;1;-;1;6
"411840 Paranavaí";41;22;24;27;32;30;28;15;43;38;300
"411845 Pato Bragado";1;2;2;4;-;-;1;1;2;2;15
"411850 Pato Branco";29;30;41;37;23;38;35;25;23;33;314
"411860 Paula Freitas";5;5;4;3;-;3;3;6;-;2;31
"411870 Paulo Frontin";6;8;6;7;9;-;2;5;4;4;51
"411880 Peabiru";3;4;3;3;4;3;7;3;-;3;33
"411885 Perobal";6;3;2;2;3;2;1;1;-;1;21
"411890 Pérola";-;2;2;2;1;-;2;4;2;2;17
"411900 Pérola d'Oeste";-;-;3;3;6;1;1;1;-;1;16
"411910 Piên";1;3;-;4;1;2;1;4;2;2;20
"411915 Pinhais";3;4;5;4;3;4;4;1;7;2;37
"411925 Pinhal de São Bento";-;-;2;-;-;1;1;1;1;1;7
"411920 Pinhalão";-;1;1;-;-;1;-;-;7;-;10
"411930 Pinhão";7;4;6;15;3;11;6;12;4;7;75
"411940 Piraí do Sul";6;9;29;8;8;4;12;6;2;6;90
"411950 Piraquara";7;7;7;10;7;9;6;4;10;6;73
"411960 Pitanga";16;8;17;15;10;10;9;11;15;13;124
"411970 Planaltina do Paraná";1;3;-;3;-;1;-;-;-;-;8
"411980 Planalto";9;5;1;6;4;3;-;1;-;-;29
"411990 Ponta Grossa";111;112;104;101;114;88;80;94;89;105;998
"411995 Pontal do Paraná";5;1;3;1;-;2;2;4;2;-;20
"412000 Porecatu";1;6;6;2;4;6;3;1;1;3;33
"412010 Porto Amazonas";2;1;4;1;-;-;1;-;-;1;10
"412015 Porto Barreiro";1;-;-;-;-;-;1;-;-;-;2
"412020 Porto Rico";1;-;-;1;1;1;2;1;3;3;13
"412030 Porto Vitória";3;1;3;3;5;5;2;5;3;4;34
"412033 Prado Ferreira";-;3;-;2;2;-;1;-;-;1;9
"412035 Pranchita";3;2;5;4;3;2;3;2;2;-;26
"412040 Presidente Castelo Branco";3;2;-;5;1;-;3;1;1;-;16
"412050 Primeiro de Maio";5;2;8;1;1;-;-;-;-;1;18
"412060 Prudentópolis";21;14;19;14;26;16;13;19;12;8;162
"412065 Quarto Centenário";3;1;1;4;1;1;2;1;2;-;16
"412070 Quatiguá";5;1;3;-;1;-;7;-;-;1;18
"412080 Quatro Barras";4;2;4;3;5;3;2;1;2;1;27
"412085 Quatro Pontes";4;-;-;-;3;2;1;-;2;-;12
"412090 Quedas do Iguaçu";10;2;6;14;4;3;9;3;6;4;61
"412100 Querência do Norte";3;3;5;1;5;2;2;2;2;2;27
"412110 Quinta do Sol";1;3;4;2;1;1;-;2;-;2;16
"412120 Quitandinha";5;4;7;6;6;4;4;2;5;4;47
"412125 Ramilândia";-;1;2;-;1;1;-;2;1;-;8
"412130 Rancho Alegre";-;-;-;-;-;-;-;-;1;-;1
"412135 Rancho Alegre D'Oeste";-;-;-;-;1;-;-;-;-;-;1
"412140 Realeza";10;11;14;4;8;9;11;7;7;7;88
"412150 Rebouças";2;1;-;2;5;4;-;3;5;3;25
"412160 Renascença";2;2;3;5;4;3;3;4;2;2;30
"412170 Reserva";3;3;3;12;7;1;5;7;3;3;47
"412175 Reserva do Iguaçu";-;1;1;-;-;1;2;-;2;-;7
"412180 Ribeirão Claro";1;3;1;4;5;4;2;3;4;6;33
"412190 Ribeirão do Pinhal";6;4;-;1;1;3;5;5;10;2;37
"412200 Rio Azul";2;3;-;3;2;2;5;2;5;1;25
"412210 Rio Bom";-;-;1;-;-;-;-;-;-;-;1
"412215 Rio Bonito do Iguaçu";-;1;2;5;8;2;5;3;-;5;31
"412217 Rio Branco do Ivaí";-;1;-;-;-;-;1;-;-;2;4
"412220 Rio Branco do Sul";4;5;4;4;-;2;6;1;3;7;36
"412230 Rio Negro";6;8;5;6;2;1;5;4;3;5;45
"412240 Rolândia";12;16;18;14;18;8;8;13;9;7;123
"412250 Roncador";2;3;1;6;2;-;1;4;2;3;24
"412260 Rondon";1;2;2;4;5;1;1;1;3;-;20
"412265 Rosário do Ivaí";1;2;2;-;3;1;4;3;2;-;18
"412270 Sabáudia";5;-;3;1;1;1;-;3;1;2;17
"412280 Salgado Filho";-;-;-;-;-;1;-;-;1;-;2
"412290 Salto do Itararé";1;1;2;1;1;-;-;2;-;1;9
"412300 Salto do Lontra";8;1;4;3;5;3;5;2;3;11;45
"412310 Santa Amélia";-;2;1;-;2;-;-;-;-;-;5
"412320 Santa Cecília do Pavão";6;2;-;3;-;-;-;-;1;1;13
"412330 Santa Cruz de Monte Castelo";4;2;2;2;2;1;2;-;-;-;15
"412340 Santa Fé";6;3;8;-;4;2;5;5;2;-;35
"412350 Santa Helena";9;8;13;3;4;6;5;10;7;5;70
"412360 Santa Inês";2;-;-;-;-;-;-;1;-;-;3
"412370 Santa Isabel do Ivaí";1;5;1;7;2;-;1;-;1;1;19
"412380 Santa Izabel do Oeste";6;4;8;3;8;2;4;4;4;-;43
"412382 Santa Lúcia";4;2;6;1;2;-;3;3;-;1;22
"412385 Santa Maria do Oeste";2;3;1;3;5;2;3;2;-;2;23
"412390 Santa Mariana";4;1;9;8;2;4;4;5;1;5;43
"412395 Santa Mônica";-;1;2;1;2;2;1;1;-;-;10
"412402 Santa Tereza do Oeste";15;7;5;3;8;5;2;5;2;4;56
"412405 Santa Terezinha de Itaipu";6;7;6;6;5;7;6;9;6;5;63
"412400 Santana do Itararé";2;1;-;2;-;1;-;-;1;1;8
"412410 Santo Antônio da Platina";12;19;7;11;4;11;11;10;10;4;99
"412420 Santo Antônio do Caiuá";-;-;1;1;1;-;1;1;1;-;6
"412430 Santo Antônio do Paraíso";2;2;2;-;-;-;1;-;-;1;8
"412440 Santo Antônio do Sudoeste";5;7;5;4;5;-;6;3;2;3;40
"412450 Santo Inácio";4;3;5;3;2;2;-;-;-;3;22
"412460 São Carlos do Ivaí";1;1;3;2;2;1;2;-;1;1;14
"412470 São Jerônimo da Serra";1;2;2;4;1;2;4;-;2;2;20
"412480 São João";2;2;1;3;4;1;3;1;4;5;26
"412490 São João do Caiuá";1;2;-;1;3;1;1;1;1;1;12
"412500 São João do Ivaí";5;10;6;6;3;3;5;6;4;4;52
"412510 São João do Triunfo";2;2;2;7;-;2;1;4;1;3;24
"412520 São Jorge d'Oeste";5;4;5;6;2;4;-;1;6;4;37
"412530 São Jorge do Ivaí";-;-;-;3;1;3;3;2;-;2;14
"412535 São Jorge do Patrocínio";-;1;1;1;2;1;1;1;1;1;10
"412540 São José da Boa Vista";-;1;-;1;-;-;-;1;1;2;6
"412545 São José das Palmeiras";-;1;5;1;1;1;1;1;1;-;12
"412550 São José dos Pinhais";57;75;44;52;64;42;53;50;48;35;520
"412555 São Manoel do Paraná";-;1;-;-;-;-;-;-;-;-;1
"412560 São Mateus do Sul";10;16;24;7;12;11;18;11;6;11;126
"412570 São Miguel do Iguaçu";8;18;14;13;12;16;9;14;6;8;118
"412575 São Pedro do Iguaçu";2;2;3;-;1;5;-;4;-;1;18
"412580 São Pedro do Ivaí";3;3;1;1;3;1;1;1;-;-;14
"412590 São Pedro do Paraná";1;1;2;-;-;-;1;1;-;4;10
"412600 São Sebastião da Amoreira";2;-;2;2;-;1;1;1;-;1;10
"412610 São Tomé";3;1;3;-;-;-;-;-;1;-;8
"412620 Sapopema";1;2;2;-;-;2;2;6;1;2;18
"412625 Sarandi";31;24;35;22;28;29;23;37;26;36;291
"412627 Saudade do Iguaçu";1;-;-;1;-;-;1;-;1;1;5
"412630 Sengés";4;2;5;5;5;4;4;4;2;1;36
"412635 Serranópolis do Iguaçu";-;-;1;2;-;2;1;2;1;2;11
"412640 Sertaneja";2;3;4;2;2;4;3;2;4;3;29
"412650 Sertanópolis";5;9;15;3;10;10;4;1;7;2;66
"412660 Siqueira Campos";6;8;8;15;3;4;6;9;6;7;72
"412665 Sulina";-;-;1;-;-;-;-;1;-;-;2
"412667 Tamarana";4;5;2;5;4;12;3;4;3;6;48
"412670 Tamboara";4;1;3;1;3;-;1;2;-;2;17
"412680 Tapejara";3;5;4;2;5;-;7;3;2;1;32
"412690 Tapira";-;-;4;1;2;-;-;-;3;1;11
"412700 Teixeira Soares";3;6;8;4;4;2;3;-;8;1;39
"412710 Telêmaco Borba";20;15;12;13;15;17;20;13;19;18;162
"412720 Terra Boa";7;1;4;7;6;3;5;3;1;1;38
"412730 Terra Rica";4;2;6;4;1;-;1;-;1;-;19
"412740 Terra Roxa";6;8;13;5;11;4;6;2;1;3;59
"412750 Tibagi";24;16;22;25;13;16;17;17;14;17;181
"412760 Tijucas do Sul";14;10;7;15;10;9;13;10;5;4;97
"412770 Toledo";51;51;59;62;63;55;55;45;50;35;526
"412780 Tomazina";3;5;1;3;2;5;1;1;6;5;32
"412785 Três Barras do Paraná";7;4;4;-;3;1;3;4;8;2;36
"412788 Tunas do Paraná";1;1;2;-;-;-;1;-;4;2;11
"412790 Tuneiras do Oeste";7;2;6;3;2;6;6;10;5;3;50
"412795 Tupãssi";3;3;3;1;4;1;2;4;2;3;26
"412796 Turvo";9;6;11;7;6;3;3;10;1;4;60
"412800 Ubiratã";5;10;3;8;3;8;6;3;3;3;52
"412810 Umuarama";55;69;73;65;42;60;42;33;46;56;541
"412820 União da Vitória";18;20;20;11;17;9;9;14;22;18;158
"412830 Uniflor";-;-;7;1;-;1;1;1;1;2;14
"412840 Uraí";1;4;2;3;4;1;3;2;2;3;25
"412853 Ventania";2;6;8;4;3;4;9;5;2;4;47
"412855 Vera Cruz do Oeste";3;-;-;4;2;2;-;-;2;2;15
"412860 Verê";1;3;6;5;6;2;-;2;1;-;26
"412865 Virmond";-;1;2;5;1;-;3;2;-;1;15
"412870 Vitorino";4;2;3;5;4;5;-;1;1;1;26
"412850 Wenceslau Braz";9;6;15;9;8;7;11;9;5;5;84
"412880 Xambrê";1;1;-;-;1;3;-;2;1;3;12
"410000 Município ignorado - PR";-;-;-;-;-;-;-;-;-;1;1
"420005 Abdon Batista";1;-;-;1;3;-;-;-;-;-;5
"420010 Abelardo Luz";1;3;4;2;1;3;4;2;4;2;26
"420020 Agrolândia";3;2;1;4;-;3;1;7;1;2;24
"420030 Agronômica";2;9;-;2;1;2;3;4;3;5;31
"420040 Água Doce";4;6;9;8;3;8;10;6;2;1;57
"420050 Águas de Chapecó";1;5;1;3;1;1;3;1;5;-;21
"420055 Águas Frias";-;1;-;-;-;-;-;-;1;-;2
"420060 Águas Mornas";2;2;7;1;4;10;8;3;6;8;51
"420070 Alfredo Wagner";5;6;6;11;6;15;6;3;10;5;73
"420075 Alto Bela Vista";-;1;1;-;-;-;-;-;-;-;2
"420080 Anchieta";-;-;2;5;3;-;1;1;1;2;15
"420090 Angelina";-;1;1;-;-;1;-;-;-;-;3
"420100 Anita Garibaldi";-;4;2;-;5;2;1;1;1;2;18
"420110 Anitápolis";-;-;-;2;-;-;2;-;-;-;4
"420120 Antônio Carlos";1;1;3;2;1;2;-;1;-;1;12
"420125 Apiúna";4;7;11;5;11;10;5;7;13;9;82
"420127 Arabutã";-;2;-;-;-;-;-;1;1;2;6
"420130 Araquari";13;12;15;7;24;21;23;9;17;22;163
"420140 Araranguá";32;49;24;25;21;17;10;15;12;10;215
"420150 Armazém";1;1;-;1;3;-;-;-;2;4;12
"420160 Arroio Trinta";1;-;1;-;-;-;-;-;2;-;4
"420165 Arvoredo";-;-;1;2;3;1;1;-;2;-;10
"420170 Ascurra";6;2;-;1;3;3;1;2;-;-;18
"420180 Atalanta";1;-;1;-;-;-;-;-;1;-;3
"420190 Aurora";-;2;4;1;-;1;1;2;-;-;11
"420195 Balneário Arroio do Silva";1;1;-;-;1;3;-;-;2;-;8
"420205 Balneário Barra do Sul";1;-;-;2;-;1;-;-;1;2;7
"420200 Balneário Camboriú";43;38;22;24;27;29;27;30;29;26;295
"420207 Balneário Gaivota";-;-;-;2;1;-;-;-;2;-;5
"421280 Balneário Piçarras";-;5;9;4;3;-;5;7;3;4;40
"422000 Balneário Rincão";-;-;-;1;-;1;-;2;2;-;6
"420209 Barra Bonita";-;3;-;-;-;-;-;-;-;-;3
"420210 Barra Velha";5;20;5;6;10;6;5;6;6;11;80
"420213 Bela Vista do Toldo";-;-;-;1;-;-;-;-;2;1;4
"420215 Belmonte";-;-;2;-;2;-;-;-;-;-;4
"420220 Benedito Novo";2;1;-;3;3;-;2;-;1;1;13
"420230 Biguaçu";14;11;13;13;10;7;13;8;6;12;107
"420240 Blumenau";125;112;99;110;98;79;57;81;59;75;895
"420243 Bocaina do Sul";2;2;3;11;5;1;7;2;3;2;38
"420250 Bom Jardim da Serra";1;9;1;1;2;2;1;2;-;2;21
"420253 Bom Jesus";-;-;2;2;1;-;-;1;1;1;8
"420257 Bom Jesus do Oeste";-;-;-;-;-;-;1;-;-;-;1
"420260 Bom Retiro";6;6;3;8;16;6;2;5;3;2;57
"420245 Bombinhas";1;4;3;2;1;-;-;1;1;2;15
"420270 Botuverá";4;-;2;5;2;-;-;1;1;1;16
"420280 Braço do Norte";6;8;9;4;6;7;9;7;8;4;68
"420285 Braço do Trombudo";1;1;1;-;-;-;-;1;-;1;5
"420287 Brunópolis";-;1;1;3;2;1;3;2;1;3;17
"420290 Brusque";37;38;30;24;31;22;25;29;26;21;283
"420300 Caçador";13;19;24;19;19;20;18;19;21;22;194
"420310 Caibi";2;3;1;2;-;1;3;-;4;1;17
"420315 Calmon";-;-;-;-;-;1;1;-;-;6;8
"420320 Camboriú";2;8;6;1;9;1;3;3;2;6;41
"420330 Campo Alegre";3;7;4;3;3;3;3;-;3;1;30
"420340 Campo Belo do Sul";-;1;-;1;-;-;1;-;1;-;4
"420350 Campo Erê";1;1;3;7;5;4;1;4;-;-;26
"420360 Campos Novos";14;23;23;6;24;13;17;14;4;10;148
"420370 Canelinha";6;5;6;1;3;1;2;3;2;1;30
"420380 Canoinhas";15;4;12;10;9;4;12;14;8;9;97
"420325 Capão Alto";7;2;7;2;5;6;3;4;-;11;47
"420390 Capinzal";2;3;4;3;6;3;4;3;2;-;30
"420395 Capivari de Baixo";1;2;4;3;1;2;2;-;-;1;16
"420400 Catanduvas";2;1;3;3;-;5;1;2;5;2;24
"420410 Caxambu do Sul";-;-;-;-;1;1;-;2;-;-;4
"420415 Celso Ramos";-;1;-;-;-;-;-;-;-;-;1
"420417 Cerro Negro";-;-;-;-;-;-;-;1;-;2;3
"420419 Chapadão do Lageado";-;1;-;-;-;1;-;1;1;-;4
"420420 Chapecó";104;134;72;57;56;58;61;66;54;47;709
"420425 Cocal do Sul";-;1;1;-;-;-;1;4;2;3;12
"420430 Concórdia";28;26;25;16;20;17;14;25;14;22;207
"420435 Cordilheira Alta";1;2;2;4;3;2;5;5;3;2;29
"420440 Coronel Freitas";1;3;-;-;2;-;1;2;3;2;14
"420455 Correia Pinto";1;4;4;7;7;7;7;2;3;6;48
"420450 Corupá";4;2;7;6;-;7;2;5;5;2;40
"420460 Criciúma";57;44;55;43;50;37;48;46;34;37;451
"420470 Cunha Porã";3;6;3;4;6;4;3;1;1;4;35
"420480 Curitibanos";9;25;15;15;18;14;15;19;13;6;149
"420490 Descanso";5;26;3;-;5;2;1;2;2;1;47
"420500 Dionísio Cerqueira";3;6;-;2;2;3;4;2;10;2;34
"420510 Dona Emma";1;-;-;-;-;1;-;-;-;-;2
"420515 Doutor Pedrinho";1;-;-;-;-;-;1;-;1;2;5
"420517 Entre Rios";-;1;-;1;-;1;-;1;-;-;4
"420519 Ermo";-;-;-;-;1;-;2;-;1;-;4
"420520 Erval Velho";-;2;1;-;3;3;1;-;-;1;11
"420530 Faxinal dos Guedes";4;4;4;12;5;-;3;5;7;5;49
"420535 Flor do Sertão";-;1;-;-;-;-;-;-;-;-;1
"420540 Florianópolis";96;84;98;66;107;63;82;61;64;51;772
"420543 Formosa do Sul";1;-;2;-;-;-;-;-;1;-;4
"420545 Forquilhinha";-;2;1;3;2;-;1;2;-;2;13
"420550 Fraiburgo";3;8;1;3;4;2;-;2;6;3;32
"420555 Frei Rogério";-;-;-;-;-;1;3;-;-;-;4
"420560 Galvão";-;-;-;-;-;1;-;-;-;1;2
"420570 Garopaba";4;2;4;2;1;2;3;1;3;3;25
"420580 Garuva";5;6;5;5;11;8;8;13;11;4;76
"420590 Gaspar";20;32;19;12;20;15;13;6;8;19;164
"420600 Governador Celso Ramos";2;2;4;1;5;3;3;4;2;-;26
"420610 Grão Pará";-;2;-;1;1;-;2;3;1;-;10
"420620 Gravatal";5;4;3;1;3;4;3;1;-;2;26
"420630 Guabiruba";-;3;1;-;1;3;2;2;-;1;13
"420640 Guaraciaba";3;2;3;2;5;2;1;5;5;-;28
"420650 Guaramirim";13;14;11;10;10;10;8;16;13;7;112
"420660 Guarujá do Sul";-;3;1;1;-;2;1;2;-;-;10
"420665 Guatambú";2;1;3;1;1;2;-;1;-;-;11
"420670 Herval d'Oeste";5;3;1;6;6;1;-;1;5;2;30
"420675 Ibiam";-;-;-;2;-;-;-;1;1;1;5
"420680 Ibicaré";2;1;-;1;-;-;-;-;-;-;4
"420690 Ibirama";12;11;9;5;10;10;13;9;13;13;105
"420700 Içara";11;20;10;11;18;5;23;5;7;9;119
"420710 Ilhota";2;7;6;6;3;6;9;6;6;5;56
"420720 Imaruí";1;2;3;1;2;1;3;2;1;1;17
"420730 Imbituba";15;18;14;11;11;5;13;15;5;10;117
"420740 Imbuia";1;-;3;2;-;2;-;-;-;2;10
"420750 Indaial";27;29;22;17;24;21;19;17;16;16;208
"420757 Iomerê";-;3;-;-;-;1;-;-;2;-;6
"420760 Ipira";-;1;-;-;2;1;1;1;-;-;6
"420765 Iporã do Oeste";2;2;1;3;-;3;1;3;1;-;16
"420768 Ipuaçu";3;1;3;3;3;-;2;6;2;-;23
"420770 Ipumirim";-;1;1;1;1;-;1;-;-;-;5
"420775 Iraceminha";5;7;4;1;1;2;2;2;1;1;26
"420780 Irani";2;3;5;3;5;-;9;2;3;6;38
"420785 Irati";2;1;-;2;2;1;-;-;-;-;8
"420790 Irineópolis";2;4;3;2;3;3;1;1;-;2;21
"420800 Itá";1;3;1;2;3;-;2;1;1;2;16
"420810 Itaiópolis";6;4;12;9;10;7;6;6;5;2;67
"420820 Itajaí";82;62;80;82;71;55;50;63;49;65;659
"420830 Itapema";9;7;15;12;7;4;9;7;2;9;81
"420840 Itapiranga";2;2;5;1;1;2;3;-;3;3;22
"420845 Itapoá";3;1;2;2;7;4;1;10;1;3;34
"420850 Ituporanga";6;7;10;8;4;10;11;8;10;11;85
"420860 Jaborá";1;-;2;-;3;-;-;1;1;-;8
"420870 Jacinto Machado";-;-;1;-;2;1;1;-;-;-;5
"420880 Jaguaruna";3;10;7;7;5;3;8;8;8;3;62
"420890 Jaraguá do Sul";66;58;64;56;50;47;39;43;20;31;474
"420895 Jardinópolis";-;-;1;-;-;-;-;1;-;-;2
"420900 Joaçaba";21;16;19;21;23;16;18;15;20;13;182
"420910 Joinville";118;149;142;124;163;161;108;79;101;87;1232
"420915 José Boiteux";-;-;1;-;-;-;1;1;-;-;3
"420917 Jupiá";1;1;-;1;-;-;-;-;2;-;5
"420920 Lacerdópolis";-;-;2;-;-;1;2;2;1;1;9
"420930 Lages";43;39;45;46;51;59;42;38;38;39;440
"420940 Laguna";17;14;13;11;8;9;6;12;6;5;101
"420945 Lajeado Grande";1;-;-;-;-;-;1;1;2;-;5
"420950 Laurentino";-;1;-;-;-;-;3;3;-;-;7
"420960 Lauro Muller";3;1;5;1;3;-;4;2;2;3;24
"420970 Lebon Régis";2;-;-;-;-;5;5;2;4;2;20
"420980 Leoberto Leal";-;1;-;1;-;1;-;-;-;-;3
"420985 Lindóia do Sul";-;-;-;-;-;-;-;-;1;1;2
"420990 Lontras";3;4;6;3;6;2;6;6;2;2;40
"421000 Luiz Alves";4;2;3;2;3;-;3;1;2;2;22
"421003 Luzerna";2;4;-;1;1;-;1;2;-;-;11
"421005 Macieira";-;-;1;-;-;-;-;2;-;-;3
"421010 Mafra";24;23;28;26;24;18;14;14;16;25;212
